ID,Gender,Trial_no,Trial_quad,Str_Code,Blink_s0,Blink_s1,Blink_s2,Blink_s3,Blink_s4,Blink_s5,Velo_s0,Velo_s1,Velo_s2,Velo_s3,Velo_s4,Velo_s5,Velo_s6,Velo_s7,Velo_s8,Joy,Happiness,Calmness,Relaxation,Anger,Disgust,Fear,Anxiousness,Sadness
128,1,5,2,PRS,0.0026965769744871273,0.0045679084093682805,0.005643052246178881,0.006282326959958157,0.004596966350903702,0.017766025454756786,0.5250944383099901,0.15004358691230313,0.0863602022432731,0.05848782472249666,0.03858894635903993,0.022548962631487184,0.01578427384204103,0.010594525483814727,0.0509443830999012,-0.39,-0.31,0.26,0.4,0.0,0.0,-0.1,-0.07,0.5
117,1,6,2,BOT,0.0008960547742200446,0.0019385800403799041,0.003282662201709971,0.0,0.0008070236908840787,0.0010109335914277426,0.47768335377218957,0.18231268290861677,0.09300014647049194,0.05907643174905871,0.04251665024856904,0.02961575907614455,0.023010227086701914,0.015485664559597694,0.06936382983000806,0.0,0.24,-0.53,-0.58,0.08,0.13,0.0,0.01,0.24
101,1,11,3,ZMZ,0.02197327592507691,0.021534740632952604,0.017242410349432895,0.02465099899668441,0.007793968146391054,0.14564022830413087,0.34714719503524893,0.12722839050903317,0.06991315672321115,0.04506282350283387,0.03348814958040146,0.023747350515943417,0.018219148045527937,0.00904977375565611,0.08730838997747523,-0.66,-0.65,-0.51,-0.75,0.59,1.0,0.56,0.43,0.11
103,0,1,0,BRZ,0.043441512815551774,0.02537652366065519,0.024067983014429587,0.012795185385077545,0.019994704738240957,0.03507601755582937,0.6493518395943015,0.05713791101923606,0.029928412134295986,0.01852323296096781,0.012902108939827496,0.010498874756876202,0.008177106139448682,0.005946986283235405,0.046781601002026454,0.1,0.47,-0.01,-0.21,-0.12,-0.01,-0.01,-0.15,-0.01
115,0,11,3,ZMZ,0.029589644287646887,0.053237486405474946,0.01940369771081461,0.005908644791639036,0.0,0.08583118915621105,0.471073503275949,0.12182020743255789,0.06348974773866681,0.03590280909307939,0.030133425289795485,0.019019072123929018,0.01298442929520677,0.010384890845911033,0.04122125255311812,-0.66,-0.42,-0.02,-0.43,0.0,0.19,0.16,-0.01,-0.04
102,0,9,1,RST,0.03788341759415298,0.02609924875152009,0.0336395118428119,0.03530620937424767,0.03373210615011389,0.21650709581041624,0.39377272418625037,0.058920844213164444,0.028759791847997186,0.015117563905504424,0.011049587338037124,0.009000166669753144,0.007537176614381748,0.005771711821823861,0.08690284387982493,0.46,0.0,-0.04,-0.01,0.0,0.01,0.0,-0.11,0.04
117,1,1,0,BRZ,0.0008506389979778223,0.0004380536157251061,0.0025824788741003347,0.002348171126154348,0.0013294417872587521,0.00712601172557469,0.7591774779317757,0.09111515207082206,0.03664369432007457,0.025050554443442695,0.018041696591840996,0.013396290806477081,0.007844215909496086,0.006458744008598076,0.027597377790681683,0.01,0.0,0.01,0.14,-0.01,0.0,0.0,0.0,0.0
124,1,2,0,DST,0.0,0.002106396268289766,0.0019004079896872965,0.002412056294603107,0.0,0.0,0.779446356665382,0.10773851449227212,0.04077238959692745,0.024731882998657754,0.015482344811088814,0.010206386965593313,0.005036745650989408,0.0037343681475673447,0.006432150118941619,0.18,0.11,-0.6,-0.59,0.0,0.01,0.0,-0.22,0.0
106,0,6,2,BOT,0.0010139016544117648,0.0023351332720588235,0.004457720588235294,0.010001148897058823,0.012726907169117648,0.006810087316176471,0.5586741727941177,0.17787798713235295,0.08020450367647058,0.046128216911764705,0.028130744485294117,0.018537454044117645,0.010966222426470587,0.008036534926470587,0.03409926470588235,-0.75,-1.0,-0.71,-0.99,0.71,0.0,0.01,0.45,0.99
120,0,9,1,RST,0.014298017353940751,0.011739067356873203,0.008501023271319696,0.014591262528514235,0.01870904213778819,0.12406431638376224,0.42769345692845745,0.14722759838375607,0.0758115946055235,0.04622778667802606,0.027046465469608996,0.01755149539605076,0.014563481406712537,0.010803769589549359,0.04117162251011696,0.47,0.74,0.66,0.24,-0.01,0.0,-0.01,0.0,-0.01
