ID,Gender,Trial_no,Trial_quad,Str_Code,Blink_s0,Blink_s1,Blink_s2,Blink_s3,Blink_s4,Blink_s5,Velo_s0,Velo_s1,Velo_s2,Velo_s3,Velo_s4,Velo_s5,Velo_s6,Velo_s7,Velo_s8,Joy,Happiness,Calmness,Relaxation,Anger,Disgust,Fear,Anxiousness,Sadness
128,1,1,0,BRZ,0.0049371955908741345,0.009300179441168932,0.003957959497564727,0.010561394514227121,0.005296077928736221,0.038749038708023584,0.6782876185593437,0.12399897462189183,0.04142527557036657,0.017400666495770316,0.012642912073827223,0.012653165854908997,0.006018969495001282,0.005362727505767752,0.029407844142527558,0.02,0.28,-0.14,0.28,0.02,0.0,-0.1,-0.07,0.01
107,0,9,1,RST,0.0019939748623354816,0.0032687606489369583,0.0020495345334222287,0.0049540706719016225,0.0008704348470257057,0.0022964664049188828,0.5026174778378645,0.19226115514729486,0.0989888139862212,0.05863397288688051,0.03886707657357335,0.024186976813097266,0.019464404770723757,0.01358742622910339,0.03595945378670025,0.18,0.34,0.2,0.19,0.01,0.0,0.01,0.0,-0.09
108,1,8,0,RPW,0.04342159372802887,0.03309764801082472,0.008735391268588409,0.0185486117559662,0.012101534828807556,0.6359888834352573,0.14263162782059616,0.015878911690964805,0.012608943661037635,0.008814984810899009,0.006984333337755197,0.006626162397357495,0.004702651791517982,0.005445524853083587,0.0444131966093151,-0.12,-0.3,0.17,0.03,0.0,-0.01,-0.03,-0.01,0.0
133,1,4,1,JNG,0.0074075925046713925,0.006297008920762638,0.006616301701136405,0.015359370965458074,0.015609252271837544,0.047416366114984274,0.6457377190279062,0.09797568377243032,0.042912949682234275,0.0306743185875598,0.018085853663954068,0.012671758692398888,0.006474702294188038,0.004331275977244142,0.04242984582323396,-0.28,-0.28,-0.66,-0.19,0.0,0.0,0.0,-0.22,-0.05
120,0,4,1,JNG,0.011109414687634461,0.009410523685927243,0.009990700514941636,0.027107304953710772,0.023268144405735144,0.1714741765791775,0.3854261801324136,0.11893902591363971,0.06986550446236485,0.044704151456688,0.02961400197093564,0.02026454953016781,0.01308035032686996,0.010259969186780852,0.0554860021930129,0.28,0.58,0.68,0.23,-0.01,0.0,-0.01,-0.01,0.0
125,1,1,0,BRZ,0.000453380743035002,0.004645879074695751,0.0007488423508555651,0.001299012241280062,0.0,0.0,0.7518988502468124,0.11780767486997142,0.046937642318252905,0.02663229802906731,0.014650820415378267,0.00956684309460375,0.0059805504755403634,0.004319852472962716,0.015058353667544561,0.1,-0.04,0.34,-0.01,-0.01,0.0,-0.01,-0.15,0.0
108,1,1,0,BRZ,0.040582132447361446,0.033876194940991824,0.010492040520984082,0.013982593098387721,0.019210778418703247,0.16766372475082042,0.5960538920935162,0.04790974501131245,0.016978863048042234,0.010079289048327592,0.0069607223660341205,0.0030370355272008316,0.0028230162450826523,0.0027211023012168527,0.027628870182018303,0.2,-0.05,-0.18,-0.23,0.0,-0.01,-0.03,-0.04,0.0
116,1,10,3,TNT,0.0008673135119957571,0.003388138395781986,0.0035940473590615543,0.0030387171247621128,0.0035940473590615543,0.039010389043147284,0.4254453561289115,0.15454403643964684,0.10181886250896952,0.08044176832121798,0.05510872617227717,0.03727576201915577,0.02611924000873553,0.0161981717779927,0.04955542382928275,-0.5,-0.43,-0.81,-0.75,0.0,0.0,0.21,0.29,0.01
124,1,4,1,JNG,8.328498177446982e-05,0.0,0.0,0.0017462084512047172,0.0007273555074970364,0.0,0.7204872726667019,0.10123567151292721,0.05250285251062577,0.0342190228450705,0.025568489404762234,0.01713449691706759,0.012470537937697281,0.00850062047311422,0.025324186791557124,-0.5,-0.47,-0.41,-0.61,0.01,0.01,0.04,-0.21,-0.01
126,1,11,3,ZMZ,0.0003846817090479791,0.0009152771698038123,0.0009418069428416039,0.0,0.0017310676907159059,0.009623675169458926,0.5069706978656797,0.14052820778118244,0.08156578720469046,0.04449042938437662,0.033785665963627684,0.024778808017297413,0.02304110788332206,0.015506652340589226,0.11573613487736613,0.08,-0.22,-0.83,-0.52,0.02,0.87,0.22,0.35,0.48
