ID,Gender,Trial_no,Trial_quad,Str_Code,Blink_s0,Blink_s1,Blink_s2,Blink_s3,Blink_s4,Blink_s5,Velo_s0,Velo_s1,Velo_s2,Velo_s3,Velo_s4,Velo_s5,Velo_s6,Velo_s7,Velo_s8,Joy,Happiness,Calmness,Relaxation,Anger,Disgust,Fear,Anxiousness,Sadness
131,0,11,3,ZMZ,0.006527449783745058,0.013625388064849949,0.023754875686576273,0.01839493724626529,0.01640486109268448,0.23434473425849764,0.244155809695651,0.13425053732056147,0.07042216148804628,0.04814657574229841,0.038461538461538464,0.026308806750338313,0.019091463900018573,0.014474487223711094,0.09163637328521772,-0.31,-0.33,-0.94,-0.95,-0.28,0.9,0.01,0.73,0.31
124,1,2,0,DST,0.0,0.002106396268289766,0.0019004079896872965,0.002412056294603107,0.0,0.0,0.779446356665382,0.10773851449227212,0.04077238959692745,0.024731882998657754,0.015482344811088814,0.010206386965593313,0.005036745650989408,0.0037343681475673447,0.006432150118941619,0.18,0.11,-0.6,-0.59,0.0,0.01,0.0,-0.22,0.0
112,1,11,3,ZMZ,0.0009350628680566608,0.0006034802907316038,0.0,0.0,0.0,0.0,0.5674041063186376,0.1465860257838612,0.0802031938033848,0.04598387182343891,0.0383839991511486,0.034338691707782906,0.020863175765292587,0.017427980264204997,0.04727041222346013,-0.47,-0.38,-0.53,-0.04,-0.12,0.25,-0.04,0.03,0.17
125,1,6,2,BOT,0.0017141675806979562,0.00562201025629246,0.0013495121657086087,0.004858243796550992,0.005148245347054331,0.00453665791876511,0.6337251704118022,0.1373918236790573,0.06413341219844146,0.03716613930411113,0.024865479478801175,0.018789803430632204,0.012886405531277097,0.01026777766930635,0.037545151231501636,-0.23,-0.53,-0.18,-0.01,0.25,0.62,-0.01,0.07,0.74
125,1,7,2,RFS,0.0004929867279399156,0.004376864775883947,0.0006301656435405878,0.002083404780685209,0.0,0.006974690490071676,0.7150108028396035,0.1417143934977194,0.05044754621214719,0.027049967420007544,0.014232312493569738,0.009696834596522515,0.005993003875304366,0.004424020028121678,0.016873006618882677,-0.24,-0.53,-0.11,-0.07,0.02,0.66,-0.01,0.23,0.89
127,0,7,2,RFS,0.0029359072167599587,0.005160339107998526,0.0036902425016501084,0.009326327158641854,0.0027001774402317866,0.008717715735605482,0.7880832168971104,0.07712221088814408,0.038633967374998926,0.01857550639041994,0.011195021387119725,0.0069861733771076386,0.005203199067367284,0.003848824351314515,0.017821171105529793,-0.14,-0.53,-0.37,-0.77,0.11,0.53,-0.01,0.26,0.85
114,0,4,1,JNG,0.006617663387444205,0.007133974373209567,0.003095090049077302,0.01232206702049699,0.010412271546268127,0.05795729608491928,0.6091192733894428,0.0848637605205303,0.044535986320534744,0.028585863072105883,0.021940441029513,0.018498367791077257,0.013146499078412649,0.013868224112278208,0.06790322222468965,-0.17,-0.27,0.37,-0.11,0.0,0.0,0.0,-0.31,-0.02
115,0,0,1,BNS,0.055145792835323525,0.03116634268258817,0.030913635101360734,0.026159400166620383,0.03341849486253819,0.5403971119133574,0.23436267703415717,0.012807553457372951,0.004193279644543182,0.001021938350458206,0.0006442654818106082,0.0004554290474868092,0.00017772840877534017,0.0005165231880033324,0.028619827825604,-0.46,-0.41,-0.13,-0.37,-0.01,-0.01,0.0,-0.02,-0.03
121,0,1,0,BRZ,0.013459491666114978,0.05293659321576436,0.04609226601210998,0.006538776882062668,0.01136647196321174,0.08512631959545137,0.5589839433306003,0.10221676758314788,0.034404966211226934,0.022712573904984035,0.014146979889696334,0.008188748618657921,0.0048480651025885205,0.003136983301674925,0.03584105272270799,0.23,-0.07,-0.34,-0.22,-0.09,-0.01,0.29,0.64,0.03
119,0,8,0,RPW,0.013191590733130844,0.011692771921465865,0.010686942078759124,0.006600758342762988,0.008539627710612167,0.03365228727029692,0.5207485491566249,0.18089055644889127,0.06776116835076992,0.035402563542638585,0.023637001303608414,0.0135059125589767,0.009661260331262118,0.008887036044441797,0.05514197420575838,-0.07,-0.03,-0.71,-0.49,0.01,0.01,0.28,-0.01,-0.01
